List has been created! 
start_time                                  end_time                     activity_label
2011-11-28 2:27:59                     2011-11-28 10:18:11                     Sleeping
2011-11-28 10:21:24                     2011-11-28 10:23:36                     Toileting
2011-11-28 10:25:44                     2011-11-28 10:33:0                     Showering
2011-11-28 10:34:23                     2011-11-28 10:43:0                     Breakfast
2011-11-28 10:49:48                     2011-11-28 10:51:13                     Grooming
2011-11-28 10:51:41                     2011-11-28 13:5:7                     Spare_Time/TV
2011-11-28 13:6:4                     2011-11-28 13:6:31                     Toileting
2011-11-28 13:9:31                     2011-11-28 13:29:9                     Leaving
2011-11-28 13:38:40                     2011-11-28 14:21:40                     Spare_Time/TV
2011-11-28 14:22:38                     2011-11-28 14:27:7                     Toileting
2011-11-28 14:27:11                     2011-11-28 15:4:0                     Lunch
2011-11-28 15:4:59                     2011-11-28 15:6:29                     Grooming
2011-11-28 15:7:1                     2011-11-28 20:20:0                     Spare_Time/TV
2011-11-28 20:20:55                     2011-11-28 20:20:59                     Snack
2011-11-28 20:21:15                     2011-11-29 2:6:0                     Spare_Time/TV
2011-11-29 2:16:0                     2011-11-29 11:31:0                     Sleeping
2011-11-29 11:31:55                     2011-11-29 11:36:55                     Toileting
2011-11-29 11:37:38                     2011-11-29 11:48:54                     Grooming
2011-11-29 11:49:57                     2011-11-29 11:51:13                     Showering
2011-11-29 12:8:28                     2011-11-29 12:18:0                     Breakfast
2011-11-29 12:19:1                     2011-11-29 12:22:0                     Grooming
2011-11-29 12:22:38                     2011-11-29 12:24:59                     Spare_Time/TV
2011-11-29 13:25:29                     2011-11-29 13:25:32                     Snack
2011-11-29 13:25:38                     2011-11-29 15:12:26                     Spare_Time/TV
2011-11-29 15:13:28                     2011-11-29 15:13:57                     Toileting
2011-11-29 15:14:33                     2011-11-29 15:45:54                     Lunch
2011-11-29 15:49:51                     2011-11-29 15:50:54                     Grooming
2011-11-29 15:52:4                     2011-11-29 16:17:58                     Spare_Time/TV
2011-11-29 16:18:0                     2011-11-29 16:31:27                     Toileting
2011-11-29 16:34:17                     2011-11-29 17:8:7                     Spare_Time/TV
2011-11-29 17:8:58                     2011-11-29 17:9:29                     Toileting
2011-11-29 17:43:0                     2011-11-29 18:57:22                     Spare_Time/TV
2011-11-29 19:2:15                     2011-11-29 20:23:38                     Leaving
2011-11-29 20:28:0                     2011-11-30 1:19:47                     Spare_Time/TV
